observable,observable_kind,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_value,change_3m,change_6m,change_12m,max_stress_move,min_stress_move,stress_peak_month,max_absolute_level,risk_metric,copper_mfe_12m
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1.6,11.99999999999999,37.999999999999986,13.99999999999999,37.999999999999986,-9.000000000000007,6,1.98,37.999999999999986,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1.73,-2.0000000000000018,9.000000000000007,-25.0,9.000000000000007,-25.0,6,1.82,9.000000000000007,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2.78,15.000000000000036,-4.999999999999982,5.000000000000027,56.00000000000001,-9.999999999999964,9,3.34,56.00000000000001,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,1.98,56.999999999999986,140.0,164.0,164.0,-3.0000000000000027,12,3.62,164.0,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2.39,-18.000000000000014,-38.000000000000036,29.999999999999982,108.0,-38.000000000000036,9,3.47,108.0,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,1.73,-32.00000000000001,-8.000000000000007,-2.0000000000000018,16.999999999999993,-32.00000000000001,7,1.9,16.999999999999993,
COPPER,price_asset,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1807.07136699066,0.18672682752523184,0.3335112370191824,0.5884542307398402,0.04422249592728145,0.0,12,3003.26189506836,0.04422249592728145,0.6619497989554957
COPPER,price_asset,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1510.44736842105,0.15838648519799436,0.16845008296191355,0.1599693997310636,0.08782845676166706,0.0,10,1843.85,0.08782845676166706,0.22073104866108184
COPPER,price_asset,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2728.460526315789,0.06403241921391278,0.15075357843836312,0.29366990604530585,0.04363357963644532,0.0,11,3529.727272727273,0.04363357963644532,0.29366990604530585
COPPER,price_asset,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,4799.904761904762,0.032061648048572255,-0.03290458053821421,0.17926298140836128,0.06835911922855609,-0.06835911922855609,1,5660.35,0.06835911922855609,0.17926298140836128
COPPER,price_asset,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,9943.175,-0.0880627346715892,-0.22097203723796832,-0.10930755321462027,0.25844783308909947,-0.2412072075760987,4,10174.34761904762,0.25844783308909947,0.02324937648664749
COPPER,price_asset,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,3003.26189506836,-0.07714633204356502,0.012278083841562815,-0.15269902783428135,0.17285615717869052,-0.15269902783428135,12,3076.4500581665,0.17285615717869052,0.02436955738636115
COPPER,price_asset,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,1681.9075,0.1041771994259375,0.06759870725784256,0.001749501681870047,0.15083424858969863,-0.009474526855834942,11,1961.89285714286,0.15083424858969863,0.16646893907236882
COPPER,price_asset,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,8059.190476190476,-0.054167676063411774,-0.1710118151508716,-0.06761874937220447,0.2940555349945989,-0.2940555349945989,7,7753.342105263158,0.2940555349945989,0.0
COPPER,price_asset,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,6195.920454545455,0.03930712683539417,-0.0506293547257084,-0.019183260246386502,0.11336716489651799,-0.07851617559068036,8,6439.464285714286,0.11336716489651799,0.03930712683539417
COPPER,price_asset,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,8396.517727272727,-0.054208403169733854,-0.005380583180166765,0.11776254732290115,0.0723375120264852,-0.054208403169733854,12,10117.163478260873,0.0723375120264852,0.20492373229908356
COPPER,price_asset,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,2870.45015814514,0.04084090608915658,0.013926346885246632,-0.10698677622859531,0.17285615717869052,-0.11349559018156874,11,3076.4500581665,0.17285615717869052,0.07176571223047312
COPPER,price_asset,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,1785.09782608696,0.09903940751720341,0.03770223285777585,-0.09782588713958984,0.17912487333054217,-0.09782588713958984,12,1961.89285714286,0.17912487333054217,0.09903940751720341
COPPER,price_asset,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,7726.738095238095,-0.0902635280368137,-0.2599529155098407,-0.02931813489616797,0.26368140876973845,-0.26368140876973845,5,7980.931818181818,0.26368140876973845,0.03289793439490074
COPPER,price_asset,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,6075.315789473684,0.05975766908369495,-0.02207624129302921,-0.007259984516527318,0.11336716489651799,-0.06022325850404964,7,6439.464285714286,0.11336716489651799,0.05993902356014802
COPPER,price_asset,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,8347.828260869564,0.0071961489196537,0.041327010567122846,0.10916615460702839,0.11228895860279509,-0.048691987793279545,11,10117.163478260873,0.11228895860279509,0.21195155938761512
COPPER,price_asset,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,2987.68194348755,-0.05944868715251872,-0.12808659733361427,-0.3359618469287786,0.3474191050855724,-0.3359618469287786,12,3040.13619641418,0.3474191050855724,0.017556839690037407
COPPER,price_asset,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,1852.4,-0.10064121020178152,-0.17578792132074605,-0.18579827643744873,0.2564370076892032,-0.2564370076892032,9,1766.125,0.2564370076892032,0.0
COPPER,price_asset,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,7500.204545454545,-0.11592596296195279,0.12454476919369495,-0.07001021184270728,0.19956758053747292,-0.11592596296195279,12,8714.181818181818,0.19956758053747292,0.1618592220212176
COPPER,price_asset,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,5882.225,-0.021238081493489935,0.02532784633520313,0.0833419105126405,0.16769458928553072,-0.14012605774175602,9,6372.460869565217,0.16769458928553072,0.0833419105126405
COPPER,price_asset,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,8981.117727272727,-0.007928857204906659,0.08403248114305528,0.11286517840282984,0.06545879444954983,-0.007928857204906659,3,9994.773181818182,0.06545879444954983,0.11286517840282984
