asset,phase,scope_tier,support_status,weighted_km_median_months_50,weighted_km_median_months_100,recovery_support_status_50,recovery_support_status_100,weighted_km_median_anchor_to_50_months,weighted_km_median_anchor_to_100_months,observed_50_recoveries,censored_50_recoveries,observed_100_recoveries,censored_100_recoveries,causal_status,oos_status,deployment_status
BTC_USD,LAST_HIKE,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
BTC_USD,PAUSE_START,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
TLT,FIRST_CUT,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
TLT,FIRST_HIKE,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
TLT,LAST_HIKE,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
TLT,PAUSE_START,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
VNQ,FIRST_CUT,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
VNQ,FIRST_HIKE,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
VNQ,LAST_HIKE,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
VNQ,PAUSE_START,LIMITED_EXTENSION,LIMITED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
US_HOUSE_PRICE,FIRST_CUT,SUPPORTED_SLOW_MOVING,SUPPORTED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
US_HOUSE_PRICE,FIRST_HIKE,SUPPORTED_SLOW_MOVING,SUPPORTED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
US_HOUSE_PRICE,LAST_HIKE,SUPPORTED_SLOW_MOVING,SUPPORTED_DESCRIPTIVE,2.0,3.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,19.0,20.0,4.0,1.0,4.0,1.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
US_HOUSE_PRICE,PAUSE_START,SUPPORTED_SLOW_MOVING,SUPPORTED_DESCRIPTIVE,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
