period,WB_PRICE,WB_RET_3M,WB_RET_6M,WB_VOL_6M,GCF_PRICE,GCF_N_DAILY,GCF_RET_3M,GCF_RET_6M,GCF_VOL_6M,ABS_REL_LEVEL_GAP,ABS_RET3_DIFF,ABS_RET6_DIFF,ABS_VOL6_DIFF
2014-08,1295.0,0.004654771140419012,-0.0038461538461538325,0.022121653952312165,1295.0571463448662,21,0.005839865085042861,-0.004555833937709086,0.02128475815899877,4.4128451634151133e-05,0.0011850939446238495,0.0007096800915552537,0.0008368957933133948
2014-09,1237.0,-0.0328381548084441,-0.07410179640718562,0.023726960747379254,1235.1285691034227,21,-0.03668283311498366,-0.07579903968744417,0.023475166402169834,0.001512878655276717,0.0038446783065395618,0.0016972432802585535,0.0002517943452094197
2014-10,1222.0,-0.06788710907704043,-0.05855161787365182,0.022415409390094673,1222.93042522928,23,-0.06691859072469453,-0.058142317178010994,0.022177358889411695,0.000761395441309265,0.000968518352345904,0.00040930069564082405,0.00023805050068297778
2014-11,1175.0,-0.0926640926640927,-0.08844065166795967,0.02521807349079435,1176.1789422286183,19,-0.09179379029857215,-0.08648998856451762,0.025067167168448628,0.001003355088185831,0.0008703023655205477,0.0019506631034420518,0.0001509063223457223
2014-12,1201.0,-0.029102667744543287,-0.06098514464425331,0.02955433156717898,1200.168174050071,22,-0.02830506550320455,-0.06394958862402544,0.028871929905107604,0.0006926111156777548,0.0007976022413387351,0.0029644439797721356,0.000682401662071376
2015-01,1251.0,0.023731587561374834,-0.04576659038901598,0.03380672660083524,1252.9249938964845,20,0.024526798948174777,-0.04403309059711946,0.034426822557576446,0.0015387641059028123,0.0007952113867999433,0.00173349979189652,0.0006200959567412082
2015-02,1227.0,0.0442553191489361,-0.05250965250965256,0.034116871605948514,1224.9105224609375,19,0.04143211418152304,-0.05416488691785426,0.03497291814912733,0.001702915679757555,0.002823204967413062,0.0016552344082017,0.0008560465431788136
2015-03,1179.0,-0.01831806827643634,-0.04688763136620855,0.03290341148294747,1177.768182927912,22,-0.018664043595297386,-0.04644082212198242,0.0333194247746794,0.0010447981951552388,0.00034597531886104704,0.0004468092442261318,0.0004160132917319301
2015-04,1199.0,-0.04156674660271786,-0.01882160392798693,0.03426796781917633,1199.828578404018,21,-0.04237796815541328,-0.018890565112018476,0.03496588450669524,0.0006910578849190774,0.0008112215526954181,6.896118403154627e-05,0.0006979166875189097
2015-05,1199.0,-0.02281988590057049,0.020425531914893602,0.029411688443730575,1198.2150085449218,20,-0.021793848143603523,0.01873530083317898,0.030327252033284846,0.0006547051335097365,0.0010260377569669688,0.0016902310817146216,0.0009155635895542712
2015-06,1182.0,0.0025445292620864812,-0.01582014987510405,0.028551346906336903,1180.7818215110085,22,0.0025587705855703025,-0.016153030015486514,0.029729026845150164,0.0010306078587069,1.4241323483821233e-05,0.0003328801403824633,0.0011776799388132607
2015-07,1128.0,-0.0592160133444537,-0.09832134292565953,0.02389958562367821,1128.113641912287,22,-0.05977098544120718,-0.09961598067897537,0.0239145508370697,0.00010074637614088111,0.000554972096753481,0.0012946377533158415,1.4965213391490706e-05
2015-08,1118.0,-0.06755629691409504,-0.08883455582722088,0.024094926359611035,1118.7333112444196,21,-0.06633341823770222,-0.08668160593738705,0.0240120425584265,0.0006559134565471414,0.0012228786763928134,0.002152949889833833,8.288380118453426e-05
