asset,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_q25_cum_return,weighted_q75_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share,event_trough_cdf,mdd_trough_cdf,mdd_trough_hazard
NASDAQ,7,10,7,-0.011513706571018356,-0.0302506053868854,0.11975562437730836,0.09428983856752704,0.12184959884466473,0.14285714285714285,0.21428571428571427,0.738095238095238,0.5476190476190476,0.24000000000000005
NASDAQ,8,10,7,0.026469367899519147,-0.03212993422046828,0.08829331025745923,0.09428983856752704,0.12739170206063088,0.0,0.11904761904761904,0.738095238095238,0.5476190476190476,0.0
NASDAQ,9,10,7,0.03377206737310012,-0.049037586507145625,0.08489844741536867,0.09428983856752704,0.12742599801219046,0.0,0.11904761904761904,0.738095238095238,0.5476190476190476,0.0
NASDAQ,10,10,7,0.014130716949181554,-0.06699574566859734,0.10108929961975122,0.12184959884466473,0.19557634568909943,0.047619047619047616,0.33333333333333337,0.738095238095238,0.6904761904761905,0.31578947368421056
NASDAQ,11,10,7,0.035033443255172436,-0.03777275656253887,0.12239074255740356,0.12184959884466473,0.22284298545231773,0.11904761904761904,0.2619047619047619,0.7857142857142857,0.738095238095238,0.15384615384615385
NASDAQ,12,10,7,0.06504843655748016,-0.018778609322296802,0.1038190574840514,0.12184959884466473,0.22284298545231773,0.07142857142857142,0.07142857142857142,0.7857142857142857,0.738095238095238,0.0
NASDAQ,13,10,7,0.09422829184216663,-0.04237869236255687,0.11134574212491599,0.12184959884466473,0.2321662814133294,0.07142857142857142,0.07142857142857142,0.7857142857142857,0.738095238095238,0.0
NASDAQ,14,10,7,0.11798484525369712,-0.04223738938164712,0.13422402333162498,0.12184959884466473,0.2321662814133294,0.0,0.0,0.7857142857142857,0.738095238095238,0.0
NASDAQ,15,10,7,0.11110153081070884,-0.03129428742173168,0.153950862451945,0.12184959884466473,0.2531176782210135,0.07142857142857142,0.07142857142857142,0.7857142857142857,0.738095238095238,0.0
NASDAQ,16,10,7,0.15012896859088087,0.009667256951639391,0.1873378786717348,0.12184959884466473,0.2722578014478586,0.07142857142857142,0.21428571428571427,0.8571428571428571,0.8095238095238094,0.27272727272727276
NASDAQ,17,10,7,0.1724178473593243,-0.011456580378411574,0.21603968729351042,0.12184959884466473,0.2722578014478586,0.0,0.14285714285714285,0.8571428571428571,0.8095238095238094,0.0
NASDAQ,18,10,7,0.1318727915779212,-0.015831091177794465,0.22464864224812464,0.12184959884466473,0.2722578014478586,0.0,0.14285714285714285,0.8571428571428571,0.8095238095238094,0.0
NASDAQ,19,10,7,0.12175080387349646,-0.03477529843598859,0.23849772971313876,0.12184959884466473,0.2722578014478586,0.0,0.14285714285714285,0.8571428571428571,0.8095238095238094,0.0
NASDAQ,20,10,7,0.1779327022936401,-0.025083838149717597,0.2417881117350733,0.12184959884466473,0.2722578014478586,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8095238095238094,0.0
NASDAQ,21,10,7,0.1917080081254643,0.016284971101328205,0.2647456004737818,0.12184959884466473,0.2722578014478586,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8095238095238094,0.0
NASDAQ,22,10,7,0.2116133899009065,0.04329979921912663,0.2991641160660097,0.12184959884466473,0.2722578014478586,0.14285714285714285,0.19047619047619047,1.0,0.9523809523809523,0.75
NASDAQ,23,10,7,0.16322736592213993,0.11506214659072467,0.3010743151212254,0.12184959884466473,0.2722578014478586,0.0,0.047619047619047616,1.0,1.0,1.0
NASDAQ,24,10,7,0.16674669859991753,0.09661172443514454,0.3555790129183283,0.12184959884466473,0.2722578014478586,0.0,0.0,1.0,1.0,
SP500,1,10,7,0.002232094155578901,-0.019418962589300537,0.03672167628618883,0.0,0.019418962589300537,0.42857142857142855,1.0,0.0,0.0,0.0
SP500,2,10,7,-0.012555985234728784,-0.0846854814056811,-0.0034422698605501845,0.03874130064552794,0.0846854814056811,0.8809523809523808,0.8809523809523808,0.47619047619047616,0.2857142857142857,0.2857142857142857
SP500,3,10,7,-0.02623673866063836,-0.04671166686133821,0.013488350366405388,0.04548772815961466,0.0846854814056811,0.4047619047619047,0.4523809523809524,0.47619047619047616,0.2857142857142857,0.0
SP500,4,10,7,-0.02407073570576279,-0.039252054947156556,0.013861855270725698,0.05446329678463202,0.0846854814056811,0.2619047619047619,0.3095238095238095,0.5952380952380951,0.3333333333333333,0.06666666666666667
SP500,5,10,7,0.021688928043894107,-0.045649437710278296,0.05999023542880044,0.05446329678463202,0.0846854814056811,0.0,0.11904761904761904,0.5952380952380951,0.3333333333333333,0.0
SP500,6,10,7,0.0381283787092328,-0.018498823657162045,0.0874407527903025,0.05446329678463202,0.0846854814056811,0.14285714285714285,0.14285714285714285,0.5952380952380951,0.3333333333333333,0.0
SP500,7,10,7,0.04812826091805089,-0.01275868174226047,0.07129834454415618,0.05446329678463202,0.0846854814056811,0.14285714285714285,0.14285714285714285,0.738095238095238,0.47619047619047616,0.2142857142857143
SP500,8,10,7,0.0465562313052188,-0.019406314365683297,0.08781915877135527,0.05446329678463202,0.0846854814056811,0.0,0.047619047619047616,0.738095238095238,0.47619047619047616,0.0
SP500,9,10,7,0.045974415085296316,-0.025323041031240612,0.0835308055205799,0.058639086441913624,0.0846854814056811,0.0,0.047619047619047616,0.738095238095238,0.47619047619047616,0.0
SP500,10,10,7,0.029993241878846222,-0.03764579687412628,0.09705259948976286,0.058639086441913624,0.0846854814056811,0.047619047619047616,0.19047619047619047,0.738095238095238,0.47619047619047616,0.0
SP500,11,10,7,0.04055008918963621,-0.016369924644346834,0.0684579999618955,0.058639086441913624,0.0846854814056811,0.047619047619047616,0.11904761904761904,0.7857142857142857,0.5238095238095238,0.09090909090909091
SP500,12,10,7,0.07979007257752624,0.0188837519504097,0.09750590243023649,0.058639086441913624,0.0846854814056811,0.0,0.0,0.7857142857142857,0.5238095238095238,0.0
SP500,13,10,7,0.09348165542880871,0.04262260884242175,0.10832200144918303,0.058639086441913624,0.0846854814056811,0.0,0.0,0.7857142857142857,0.5238095238095238,0.0
SP500,14,10,7,0.11016552057737083,0.06644603774158186,0.11981738939439879,0.058639086441913624,0.0846854814056811,0.0,0.07142857142857142,0.7857142857142857,0.5238095238095238,0.0
SP500,15,10,7,0.10744513794552613,0.0431066531034201,0.13755810628634624,0.058639086441913624,0.0866635983588373,0.0,0.07142857142857142,0.7857142857142857,0.5238095238095238,0.0
SP500,16,10,7,0.08087076673883375,0.02916449328929982,0.1403006956347379,0.06416482179021477,0.09887124945362158,0.0,0.21428571428571427,0.8571428571428571,0.5952380952380951,0.15000000000000002
SP500,17,10,7,0.1220432740998405,0.03225315701412623,0.17838248304012905,0.07433440371124578,0.09887124945362158,0.0,0.14285714285714285,0.8571428571428571,0.5952380952380951,0.0
SP500,18,10,7,0.1444442174269347,-0.0008591962081717641,0.17141623717457644,0.0846854814056811,0.10402766837386268,0.0,0.21428571428571427,0.8571428571428571,0.6666666666666666,0.17647058823529413
SP500,19,10,7,0.15954293509231166,0.002676310973736218,0.18397355198124155,0.0846854814056811,0.10402766837386268,0.0,0.0,0.8571428571428571,0.6666666666666666,0.0
SP500,20,10,7,0.15765931532107658,0.005428973229978373,0.23240377357072628,0.0846854814056811,0.1209772646877566,0.0,0.14285714285714285,0.8571428571428571,0.6666666666666666,0.0
SP500,21,10,7,0.1731560404997332,0.05614790126342428,0.25907267148814417,0.0846854814056811,0.16003892255640584,0.14285714285714285,0.14285714285714285,1.0,0.8095238095238094,0.4285714285714286
SP500,22,10,7,0.1808007933260911,0.08307318285528309,0.29932405846511534,0.0846854814056811,0.16003892255640584,0.0,0.0,1.0,0.8095238095238094,0.0
SP500,23,10,7,0.16978170852540075,0.12984298106202075,0.28018903894789204,0.0846854814056811,0.16003892255640584,0.0,0.047619047619047616,1.0,0.8571428571428571,0.25
