event_id,cycle_id,cycle_start_year,event_type,event_date,asset,asset_kind,baseline_date,baseline_value,first_post_date,usable_post_obs_252,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_252d,mae,mfe,time_to_event_min_obs,time_to_event_max_obs,mdd,mdd_peak_obs,mdd_trough_obs,time_peak_to_trough_obs,recovery50_obs_from_trough,recovery100_obs_from_trough,recovery50_obs_from_event,recovery100_obs_from_event,recovery50_observed,recovery100_observed,recovery_censor_obs,rv_20d_ann,down_semivol_20d_ann,tail_loss_freq_20d,rv_60d_ann,down_semivol_60d_ann,tail_loss_freq_60d,rv_120d_ann,down_semivol_120d_ann,tail_loss_freq_120d,rv_252d_ann,down_semivol_252d_ann,tail_loss_freq_252d,min_bp_excursion,max_bp_excursion,time_to_min_obs,time_to_max_obs,chg_1d_bp,chg_5d_bp,chg_20d_bp,chg_60d_bp,chg_120d_bp,chg_252d_bp,bp_vol_20d_ann,bp_vol_60d_ann,bp_vol_120d_ann,bp_vol_252d_ann
T02_1984_TIGHTENING_CYCLE_END,T02_1984,1984,TIGHTENING_CYCLE_END,1984-08-09,DGS10,rate,1984-08-08,12.66,1984-08-09,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-283.0,25.99999999999998,203.0,19.0,-5.000000000000071,8.000000000000007,15.000000000000036,-100.0,-131.00000000000006,-227.99999999999994,101.04115888821624,132.4506943759752,136.16937981793114,147.64218617807794
T02_1984_PAUSE_START,T02_1984,1984,PAUSE_START,1984-08-21,SP500,price,1984-08-20,164.94000244140625,1984-08-21,252,0.017521519018256937,0.009094215943963313,0.016430164999184038,0.006244687547296346,0.10458348335557921,0.12998667469416736,-0.019825416660961825,0.18618886261983425,35.0,229.0,0.05046655664985378,55.0,81.0,26.0,3.0,20.0,84.0,101.0,True,True,756.0,0.12221696553189709,0.06332002724592685,0.0,0.1139271718930164,0.06526960575442475,0.0,0.11768462216119574,0.061717255475000045,0.008333333333333333,0.10534095416441838,0.06169743471585139,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_PAUSE_START,T02_1984,1984,PAUSE_START,1984-08-21,NASDAQ,price,1984-08-20,250.22,1984-08-21,252,0.012429062425066029,0.012269203101270776,0.01506674126768437,-0.009511629765806107,0.15238590040764133,0.18148029733834226,-0.04851730477180072,0.22999760211014308,81.0,229.0,0.06854460093896708,18.0,81.0,63.0,11.0,21.0,92.0,102.0,True,True,756.0,0.09246884807904072,0.05815551805258554,0.05,0.07863061824184357,0.05406921546280638,0.016666666666666666,0.08825034733331998,0.047525014552254205,0.008333333333333333,0.09235278012684323,0.056606132302942425,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_PAUSE_START,T02_1984,1984,PAUSE_START,1984-08-21,DGS2,rate,1984-08-20,12.42,1984-08-21,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-406.00000000000006,21.000000000000085,216.0,11.0,-0.9999999999999787,11.999999999999922,-32.00000000000003,-170.99999999999991,-240.00000000000003,-353.9999999999999,106.2275610980603,136.7085108877737,128.20755231494067,147.86302480196213
T02_1984_PAUSE_START,T02_1984,1984,PAUSE_START,1984-08-21,DGS10,rate,1984-08-20,12.69,1984-08-21,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-285.99999999999994,23.000000000000043,195.0,11.0,-7.000000000000028,12.0000000000001,-33.999999999999986,-100.0,-130.9999999999999,-250.99999999999997,109.38930959025062,136.79726431995542,137.19194368389387,147.4832558529005
T02_1984_FIRST_CUT,T02_1984,1984,FIRST_CUT,1984-09-20,SP500,price,1984-09-19,166.94000244140625,1984-09-20,252,0.003174785980267991,-0.0039535381122389746,-0.01677251114657541,-0.030729632249844152,0.07619504633209573,0.08847492546099023,-0.031568253237031274,0.17197790245124112,14.0,208.0,0.07303855728047426,208.0,251.0,43.0,25.0,38.0,276.0,289.0,True,True,756.0,0.09088483737093217,0.07019072097905536,0.0,0.10632251194708742,0.06908755118519443,0.0,0.1153890716514574,0.06209420930585953,0.008333333333333333,0.10275570093642908,0.06230618497887901,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_FIRST_CUT,T02_1984,1984,FIRST_CUT,1984-09-20,NASDAQ,price,1984-09-19,253.01,1984-09-20,252,0.00047428955377259996,-0.010987707995731344,-0.023398284652780488,-0.05900952531520487,0.11228805185565793,0.11078613493537826,-0.05900952531520487,0.2164341330382198,60.0,208.0,0.0868505702310165,208.0,252.0,44.0,33.0,45.0,285.0,297.0,True,True,756.0,0.06648335619112614,0.05614754270299442,0.0,0.0702515961566646,0.055899400985474614,0.0,0.085804629274966,0.046421962058989595,0.0,0.09239597642210441,0.059026280115553637,0.015873015873015872,,,,,,,,,,,,,,
T02_1984_FIRST_CUT,T02_1984,1984,FIRST_CUT,1984-09-20,DGS2,rate,1984-09-19,11.94,1984-09-20,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-358.0,17.99999999999997,195.0,4.0,0.0,11.00000000000012,-41.000000000000014,-209.0,-108.99999999999999,-322.9999999999999,118.06318558074638,147.1703613307969,140.3507580817348,149.98755592471974
T02_1984_FIRST_CUT,T02_1984,1984,FIRST_CUT,1984-09-20,DGS10,rate,1984-09-19,12.25,1984-09-20,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-242.0,31.00000000000005,174.0,4.0,2.999999999999936,21.000000000000085,-16.000000000000014,-96.00000000000009,-25.99999999999998,-198.00000000000006,146.2741478040102,152.7166868442278,143.69354645953177,148.85009438226618
T03_1987_FIRST_HIKE,T03_1987,1987,FIRST_HIKE,1987-01-05,SP500,price,1987-01-02,246.4499969482422,1987-01-05,252,0.023290750920031522,0.04982760880563086,0.11211194954823278,0.1734632411773458,0.24512067012119787,0.0025563192964648263,-0.0914181337321277,0.3664840461913177,234.0,163.0,0.3350951525557261,163.0,234.0,71.0,222.0,414.0,456.0,648.0,True,True,756.0,0.14434284755535834,0.055070502314024154,0.0,0.1463046687676115,0.08170026635194444,0.016666666666666666,0.16351213261343964,0.1059574647910182,0.06666666666666667,0.3375526651882376,0.28697112640362615,0.10714285714285714,,,,,,,,,,,,,,
