date,legacy_26w_return,modern_126obs_return,legacy_sign,modern_sign,sign_agrees
2009-06-10,-0.07515251691900227,-0.07665322860148005,-1,-1,True
2009-06-17,-0.03316255426162318,-0.02737606448486163,-1,-1,True
2009-06-24,-0.019813555204664213,-0.028607905090083263,-1,-1,True
2009-07-01,-0.02055138097951692,-0.03255689977232712,-1,-1,True
2009-07-08,-0.022527852400783477,-0.02925362195879866,-1,-1,True
2009-07-15,-0.0394053625818197,-0.06506788239321559,-1,-1,True
2009-07-22,-0.07792368351518353,-0.0938714250313768,-1,-1,True
2009-07-29,-0.07914155415775437,-0.07684268421250606,-1,-1,True
2009-08-05,-0.09172382103579846,-0.10186075059965582,-1,-1,True
2009-08-12,-0.08193590810599638,-0.09554924754980076,-1,-1,True
2009-08-19,-0.096074582222201,-0.10747973090897556,-1,-1,True
2009-08-26,-0.10807078323080488,-0.11325128182994415,-1,-1,True
2009-09-02,-0.11862686280907453,-0.11864679893590846,-1,-1,True
2009-09-09,-0.12875231019097577,-0.1372505175174784,-1,-1,True
2009-09-16,-0.12928103217031572,-0.09386396559693022,-1,-1,True
2009-09-23,-0.09763964048057105,-0.10320082095395022,-1,-1,True
2009-09-30,-0.1083698751067309,-0.10343893411985638,-1,-1,True
2009-10-07,-0.10695627697959564,-0.11580825044115561,-1,-1,True
2009-10-14,-0.11931653282850052,-0.11991430974231687,-1,-1,True
2009-10-21,-0.1299422026605812,-0.13594913696559408,-1,-1,True
2009-10-28,-0.11288681959768188,-0.0977852528494424,-1,-1,True
2009-11-04,-0.0971096626192488,-0.09741357871176326,-1,-1,True
2009-11-11,-0.0911053800307774,-0.09209685047415117,-1,-1,True
2009-11-18,-0.08854882451896096,-0.09023360069763775,-1,-1,True
2009-11-25,-0.06521606938854196,-0.06921892299292864,-1,-1,True
2009-12-02,-0.058393815580787045,-0.049824658094395624,-1,-1,True
2009-12-09,-0.060016212185078466,-0.05173047416420673,-1,-1,True
2009-12-16,-0.054005871805379746,-0.05292770746828501,-1,-1,True
2009-12-23,-0.040765036633157115,-0.050545798441557266,-1,-1,True
2009-12-30,-0.04547671079484905,-0.03950869544491287,-1,-1,True
2010-01-06,-0.05397842146813603,-0.0528866681905813,-1,-1,True
2010-01-13,-0.049860882557430486,-0.060413821919165445,-1,-1,True
2010-01-20,-0.034381950396189076,-0.02704562062616722,-1,-1,True
