asset,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,drawdown,trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,source_module,anchor_to_recovery50_months,anchor_to_recovery100_months,anchor_to_censor_months
SP500,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,0.0988712494536215,11.0,1.0,6.0,True,True,60.0,PHASE_CLOCK_004,12.0,17.0,71.0
SP500,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,0.0433081815743114,12.0,2.0,2.0,True,True,60.0,PHASE_CLOCK_004,14.0,14.0,72.0
SP500,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.2684075033871038,5.0,13.0,19.0,True,True,60.0,PHASE_CLOCK_004,18.0,24.0,65.0
SP500,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.1399472062006215,1.0,3.0,13.0,True,True,60.0,PHASE_CLOCK_004,4.0,14.0,61.0
SP500,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.0519816996292393,8.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,11.0,11.0,68.0
SP500,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.0365423720724417,12.0,1.0,2.0,True,True,60.0,PHASE_CLOCK_004,13.0,14.0,72.0
SP500,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.2151019302810527,8.0,39.0,,True,False,60.0,PHASE_CLOCK_004,47.0,,68.0
SP500,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.2095502314858965,12.0,42.0,54.0,True,True,60.0,PHASE_CLOCK_004,54.0,66.0,72.0
SP500,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.1909000914287328,8.0,3.0,5.0,True,True,60.0,PHASE_CLOCK_004,11.0,13.0,68.0
SP500,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.1108177848216077,7.0,1.0,3.0,True,True,17.0,PHASE_CLOCK_004,8.0,10.0,24.0
NASDAQ,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,0.2647636161274509,11.0,7.0,17.0,True,True,60.0,PHASE_CLOCK_004,18.0,28.0,71.0
NASDAQ,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,0.0467138192844162,12.0,2.0,2.0,True,True,60.0,PHASE_CLOCK_004,14.0,14.0,72.0
NASDAQ,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.2985083157554079,5.0,6.0,20.0,True,True,60.0,PHASE_CLOCK_004,11.0,25.0,65.0
NASDAQ,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.1831315117846628,1.0,2.0,6.0,True,True,60.0,PHASE_CLOCK_004,3.0,7.0,61.0
NASDAQ,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.0961433553941895,8.0,4.0,14.0,True,True,60.0,PHASE_CLOCK_004,12.0,22.0,68.0
NASDAQ,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.0941613420880245,12.0,2.0,3.0,True,True,60.0,PHASE_CLOCK_004,14.0,15.0,72.0
NASDAQ,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.40804215504697,8.0,39.0,,True,False,60.0,PHASE_CLOCK_004,47.0,,68.0
NASDAQ,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.2067164153986956,12.0,26.0,29.0,True,True,60.0,PHASE_CLOCK_004,38.0,41.0,72.0
NASDAQ,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.1748242325021655,8.0,2.0,3.0,True,True,60.0,PHASE_CLOCK_004,10.0,11.0,68.0
NASDAQ,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.1548604932549572,7.0,1.0,3.0,True,True,17.0,PHASE_CLOCK_004,8.0,10.0,24.0
WTI,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.2369880196000282,12.0,6.0,9.0,True,True,60.0,PHASE_CLOCK_004,18.0,21.0,72.0
WTI,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.3064229865208423,11.0,3.0,6.0,True,True,60.0,PHASE_CLOCK_004,14.0,17.0,71.0
WTI,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.269776261764174,12.0,2.0,2.0,True,True,60.0,PHASE_CLOCK_004,14.0,14.0,72.0
WTI,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.1312220232766339,11.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,14.0,14.0,71.0
WTI,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.3430163134968517,11.0,3.0,9.0,True,True,60.0,PHASE_CLOCK_004,14.0,20.0,71.0
WTI,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.2223312988177045,12.0,,,False,False,60.0,PHASE_CLOCK_004,,,72.0
WTI,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.7233610635672492,9.0,2.0,11.0,True,True,60.0,PHASE_CLOCK_004,11.0,20.0,69.0
WTI,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.1892926509619752,8.0,10.0,10.0,True,True,16.0,PHASE_CLOCK_004,18.0,18.0,24.0
DXY,FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,0.0518178888671605,12.0,2.0,4.0,True,True,60.0,RECOVERY_EXTENSION_015,14.0,16.0,72.0
DXY,FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,0.0178189102413798,8.0,1.0,1.0,True,True,60.0,RECOVERY_EXTENSION_015,9.0,9.0,68.0
DXY,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,0.1674246049152736,11.0,8.0,,True,False,60.0,RECOVERY_EXTENSION_015,19.0,,71.0
DXY,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,0.1073851928204383,4.0,7.0,17.0,True,True,60.0,RECOVERY_EXTENSION_015,11.0,21.0,64.0
DXY,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.0656703242062936,8.0,3.0,6.0,True,True,60.0,RECOVERY_EXTENSION_015,11.0,14.0,68.0
DXY,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.10231729133171,8.0,28.0,33.0,True,True,60.0,RECOVERY_EXTENSION_015,36.0,41.0,68.0
DXY,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.0434032783041414,4.0,1.0,4.0,True,True,60.0,RECOVERY_EXTENSION_015,5.0,8.0,64.0
DXY,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.0991713789038302,6.0,6.0,11.0,True,True,60.0,RECOVERY_EXTENSION_015,12.0,17.0,66.0
DXY,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.0467439259421175,4.0,6.0,7.0,True,True,60.0,RECOVERY_EXTENSION_015,10.0,11.0,64.0
DXY,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.0824487330467255,10.0,24.0,,True,False,44.0,RECOVERY_EXTENSION_015,34.0,,54.0
DXY,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.0518178888671605,7.0,2.0,4.0,True,True,60.0,RECOVERY_EXTENSION_015,9.0,11.0,67.0
DXY,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.1320704449855086,12.0,,,False,False,60.0,RECOVERY_EXTENSION_015,,,72.0
