asset,anchor,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share
SP500,FIRST_HIKE,11,10,7,0.04055008918963621,0.058639086441913624,0.0846854814056811,0.047619047619047616,0.11904761904761904
SP500,FIRST_HIKE,12,10,7,0.07979007257752624,0.058639086441913624,0.0846854814056811,0.0,0.0
SP500,LAST_HIKE,1,10,7,0.001254727425847646,0.0,0.023084348628166107,0.3333333333333333,1.0
SP500,LAST_HIKE,2,10,7,0.011615900175505844,0.007789507252783601,0.023084348628166107,0.047619047619047616,0.2619047619047619
SP500,LAST_HIKE,3,10,7,0.021495419426582174,0.014454343260953961,0.0421679614905226,0.2619047619047619,0.2619047619047619
SP500,LAST_HIKE,4,10,7,0.056870435164797506,0.023084348628166107,0.0421679614905226,0.07142857142857142,0.3333333333333333
SP500,LAST_HIKE,5,10,7,0.07644967805934777,0.0421679614905226,0.04253822275725605,0.19047619047619047,0.19047619047619047
SP500,LAST_HIKE,6,10,7,0.09798840659132102,0.0421679614905226,0.062054979990809,0.2619047619047619,0.3095238095238095
SP500,LAST_HIKE,7,10,7,0.10398910211807566,0.0421679614905226,0.062054979990809,0.19047619047619047,0.19047619047619047
SP500,LAST_HIKE,8,10,7,0.11998409754983008,0.0421679614905226,0.062054979990809,0.0,0.047619047619047616
SP500,LAST_HIKE,9,10,7,0.09330536226393105,0.0421679614905226,0.0662278073316046,0.21428571428571427,0.40476190476190477
SP500,LAST_HIKE,10,10,7,0.11981434149734205,0.0421679614905226,0.0866635983588373,0.21428571428571427,0.21428571428571427
SP500,LAST_HIKE,11,10,7,0.14015447495006805,0.0421679614905226,0.09887124945362158,0.07142857142857142,0.21428571428571427
SP500,LAST_HIKE,12,10,7,0.16653674233624405,0.0421679614905226,0.09887124945362158,0.0,0.07142857142857142
SP500,PAUSE_START,1,7,7,0.04563318029775365,0.0,0.0421679614905226,0.2857142857142857,1.0
SP500,PAUSE_START,2,7,7,0.0818441015666882,0.0,0.0421679614905226,0.0,0.14285714285714285
SP500,PAUSE_START,3,7,7,0.10056923905398896,0.007789507252783601,0.0421679614905226,0.0,0.14285714285714285
SP500,PAUSE_START,4,7,7,0.08870845935326477,0.01690683552754113,0.06416482179021477,0.14285714285714285,0.42857142857142855
SP500,PAUSE_START,5,7,7,0.125757669253461,0.01690683552754113,0.07433440371124578,0.14285714285714285,0.14285714285714285
SP500,PAUSE_START,6,7,7,0.16000817143605883,0.01690683552754113,0.10402766837386268,0.14285714285714285,0.14285714285714285
SP500,PAUSE_START,7,7,7,0.12859506674880472,0.03293038842577323,0.10402766837386268,0.0,0.2857142857142857
SP500,PAUSE_START,8,7,7,0.16158899485195377,0.03293038842577323,0.1209772646877566,0.14285714285714285,0.14285714285714285
SP500,PAUSE_START,9,7,7,0.1990917636926688,0.03293038842577323,0.1399472062006215,0.14285714285714285,0.14285714285714285
SP500,PAUSE_START,10,7,7,0.20940114504575202,0.03293038842577323,0.1399472062006215,0.0,0.14285714285714285
SP500,PAUSE_START,11,7,7,0.22902709374727848,0.03293038842577323,0.1399472062006215,0.0,0.0
SP500,PAUSE_START,12,7,7,0.24641737586018087,0.0421679614905226,0.1399472062006215,0.0,0.42857142857142855
USD_BROAD,FIRST_CUT,1,3,3,0.008005220236512844,0.0,0.03583731650942645,0.3333333333333333,1.0
USD_BROAD,FIRST_CUT,2,3,3,0.016433320190835765,0.0,0.05020568850477303,0.3333333333333333,0.3333333333333333
USD_BROAD,FIRST_CUT,3,3,3,0.011428767020674524,0.004923641394618539,0.05020568850477303,0.0,0.3333333333333333
USD_BROAD,FIRST_CUT,4,3,3,0.00981050997008448,0.006515735060227845,0.05020568850477303,0.0,0.3333333333333333
USD_BROAD,FIRST_CUT,5,3,3,0.004180475169299536,0.012054745528448096,0.05457382062784899,0.3333333333333333,1.0
USD_BROAD,FIRST_CUT,6,3,3,-0.0012794597117842255,0.020133272914898637,0.07380980336474441,0.6666666666666666,1.0
USD_BROAD,FIRST_CUT,7,3,3,0.011119333664652231,0.03645500994982198,0.07692765086081865,0.3333333333333333,0.6666666666666666
USD_BROAD,FIRST_CUT,8,3,3,-0.002214914921569555,0.050410929133020144,0.07692765086081865,0.3333333333333333,0.3333333333333333
USD_BROAD,FIRST_CUT,9,3,3,-0.016473446565736016,0.06398073090535983,0.07692765086081865,0.3333333333333333,0.3333333333333333
USD_BROAD,FIRST_CUT,10,3,3,-0.020397795397616436,0.06771552191070973,0.07792785933120483,0.6666666666666666,0.6666666666666666
USD_BROAD,FIRST_CUT,11,3,3,-0.016620470404365206,0.06771552191070973,0.07792785933120483,0.0,0.3333333333333333
USD_BROAD,FIRST_CUT,12,3,3,-0.02107984786342465,0.06836462919540964,0.07792785933120483,0.3333333333333333,0.6666666666666666
USD_BROAD,FIRST_HIKE,1,2,2,0.018879093563809235,0.0,0.0,0.0,1.0
USD_BROAD,FIRST_HIKE,2,2,2,0.023189964416118203,0.0,0.008267085204926361,0.0,0.5
USD_BROAD,FIRST_HIKE,3,2,2,0.0018065884902294105,0.0,0.028993048586752668,0.0,0.5
USD_BROAD,FIRST_HIKE,4,2,2,-0.014992480885080206,0.0,0.045275645774780604,0.5,0.5
USD_BROAD,FIRST_HIKE,5,2,2,-0.004934088048373697,0.003531108666041116,0.045275645774780604,0.0,0.5
USD_BROAD,FIRST_HIKE,6,2,2,-0.0011816756242173376,0.003531108666041116,0.045275645774780604,0.0,0.0
USD_BROAD,FIRST_HIKE,7,2,2,0.007034364264083104,0.003531108666041116,0.045275645774780604,0.0,0.0
USD_BROAD,FIRST_HIKE,8,2,2,-0.0022673230326349936,0.020613998498046016,0.045275645774780604,0.0,0.5
USD_BROAD,FIRST_HIKE,9,2,2,0.005598015602960471,0.04115352628402902,0.045275645774780604,0.0,0.5
USD_BROAD,FIRST_HIKE,10,2,2,0.01596435457669476,0.045275645774780604,0.06017025099622009,0.0,0.5
USD_BROAD,FIRST_HIKE,11,2,2,0.03953658160067253,0.045275645774780604,0.06017025099622009,0.0,0.0
USD_BROAD,FIRST_HIKE,12,2,2,0.04997725027465605,0.045275645774780604,0.06017025099622009,0.0,0.0
USD_BROAD,LAST_HIKE,1,3,3,0.004689100886234199,0.0,0.014862436030183557,0.3333333333333333,1.0
USD_BROAD,LAST_HIKE,2,3,3,0.0020714555406196045,0.007364471118739613,0.015116242407299252,0.3333333333333333,0.6666666666666666
USD_BROAD,LAST_HIKE,3,3,3,0.004815705559178873,0.007364471118739613,0.015116242407299252,0.0,0.0
USD_BROAD,LAST_HIKE,4,3,3,0.008243934041523238,0.015116242407299252,0.018421701738937424,0.0,0.3333333333333333
USD_BROAD,LAST_HIKE,5,3,3,1.5463826344319642e-05,0.015116242407299252,0.029668763122772668,0.0,0.6666666666666666
USD_BROAD,LAST_HIKE,6,3,3,-0.006387028489388102,0.016697118294051072,0.029668763122772668,0.3333333333333333,0.3333333333333333
USD_BROAD,LAST_HIKE,7,3,3,0.0033021997935442915,0.016697118294051072,0.029668763122772668,0.0,0.0
USD_BROAD,LAST_HIKE,8,3,3,0.008017121631983537,0.016697118294051072,0.029668763122772668,0.0,0.0
USD_BROAD,LAST_HIKE,9,3,3,0.009941331617213445,0.016697118294051072,0.029668763122772668,0.0,0.0
USD_BROAD,LAST_HIKE,10,3,3,0.004968742670726778,0.02851026962388503,0.029668763122772668,0.3333333333333333,0.3333333333333333
USD_BROAD,LAST_HIKE,11,3,3,0.0033608214740219466,0.029668763122772668,0.03775106660618621,0.3333333333333333,0.3333333333333333
USD_BROAD,LAST_HIKE,12,3,3,-0.0022332541340940315,0.029668763122772668,0.04057148440920222,0.3333333333333333,0.3333333333333333
USD_BROAD,PAUSE_START,1,3,3,-0.004646062113579985,0.004646062113579985,0.015478631482653715,0.6666666666666666,1.0
USD_BROAD,PAUSE_START,2,3,3,-0.0012501152737792731,0.015478631482653715,0.018421701738937424,0.0,0.3333333333333333
USD_BROAD,PAUSE_START,3,3,3,-0.009401102749538759,0.015478631482653715,0.029668763122772668,0.6666666666666666,0.6666666666666666
USD_BROAD,PAUSE_START,4,3,3,-0.002189308086213315,0.016697118294051072,0.029668763122772668,0.3333333333333333,0.3333333333333333
USD_BROAD,PAUSE_START,5,3,3,-0.0061453160717969135,0.016697118294051072,0.029668763122772668,0.0,0.0
USD_BROAD,PAUSE_START,6,3,3,-0.00975988929436733,0.016697118294051072,0.029668763122772668,0.0,0.0
USD_BROAD,PAUSE_START,7,3,3,0.007646220609569765,0.016697118294051072,0.029668763122772668,0.0,0.0
USD_BROAD,PAUSE_START,8,3,3,0.009569722579592987,0.02851026962388503,0.029668763122772668,0.3333333333333333,0.3333333333333333
