series_id,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,baseline_month,baseline_level,level_3m,change_3m_pp,level_6m,change_6m_pp,level_12m,change_12m_pp,level_24m,change_24m_pp,max_increase_24m_pp,max_pressure_month_24m,min_change_24m_pp,min_rate_month_24m,months_observed_0_24
MORTGAGE30US,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,2007-08,6.572,6.095,-0.4770000000000003,5.97,-0.6020000000000003,6.0375,-0.5345000000000004,5.0575,-1.5145,-0.09450000000000003,11,-1.7619999999999996,19,25
MORTGAGE30US,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,2015-11,3.9425,3.694,-0.24849999999999994,3.568,-0.37449999999999983,4.198,0.2555000000000005,3.95,0.007500000000000284,0.2555000000000005,12,-0.5074999999999998,8,25
MORTGAGE30US,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,2018-11,4.866,4.265,-0.601,3.8024999999999998,-1.0635,3.72,-1.1459999999999995,2.684,-2.1819999999999995,-0.22849999999999948,0,-2.1819999999999995,24,25
MORTGAGE30US,PAUSE_START,T09_2015,B06,2019-01-30,1.0,2018-12,4.6375,4.1425,-0.4950000000000001,3.765,-0.8725,3.624,-1.0135,2.735,-1.9025000000000003,-0.17349999999999977,0,-1.9535,23,25
MORTGAGE30US,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,2019-06,3.8024999999999998,3.6879999999999997,-0.11450000000000005,3.624,-0.17849999999999966,3.016,-0.7864999999999998,2.868,-0.9344999999999999,-0.037499999999999645,0,-1.1184999999999996,17,25
MORTGAGE30US,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,2022-02,3.7625,5.522,1.7595,6.112,2.3495,6.544,2.7814999999999994,6.82,3.0575,3.8575,19,0.40949999999999953,0,25
MORTGAGE30US,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,2023-06,6.714,7.62,0.9059999999999997,6.6425,-0.07150000000000034,6.8475,0.13349999999999973,6.720000000000001,0.006000000000000227,0.9059999999999997,3,-0.5340000000000007,14,25
MORTGAGE30US,PAUSE_START,T10_2022,B07,2023-09-20,1.0,2023-08,7.072,6.815,-0.2569999999999997,6.82,-0.2519999999999998,6.18,-0.8920000000000003,6.3525,-0.7195,0.548,1,-0.8920000000000003,12,25
DGS10,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,1987-04,8.022857142857143,8.76047619047619,0.737619047619047,8.860526315789473,0.8376691729323298,9.08904761904762,1.0661904761904761,8.85909090909091,0.8362337662337662,1.4971428571428582,5,0.1891428571428566,9,25
DGS10,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,1987-06,8.402272727272727,9.520000000000001,1.117727272727274,8.66578947368421,0.2635167464114829,9.056000000000001,0.6537272727272736,8.0185,-0.3837727272727278,1.117727272727274,3,-0.3837727272727278,24,25
DGS10,FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,1987-07,8.44681818181818,8.860526315789473,0.41370813397129247,8.212,-0.2348181818181807,9.260434782608696,0.8136166007905157,8.112608695652174,-0.33420948616600654,1.073181818181821,2,-0.42831818181818093,23,25
DGS10,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,1987-08,8.76047619047619,8.987727272727271,0.22725108225108137,8.373478260869565,-0.3869979296066255,8.977142857142857,0.21666666666666679,8.1905,-0.56997619047619,0.7595238095238113,1,-0.7419761904761906,22,25
DGS10,PAUSE_START,T04_1987,B02,1987-11-03,1.0,1987-10,9.520000000000001,8.212,-1.3080000000000016,9.08904761904762,-0.4309523809523821,8.9625,-0.557500000000001,7.8742857142857146,-1.6457142857142868,-0.1622727272727289,16,-1.6457142857142868,24,25
DGS10,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,1987-10,9.520000000000001,8.212,-1.3080000000000016,9.08904761904762,-0.4309523809523821,8.9625,-0.557500000000001,7.8742857142857146,-1.6457142857142868,-0.1622727272727289,16,-1.6457142857142868,24,25
DGS10,FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,1988-02,8.212,8.921363636363637,0.7093636363636371,8.977142857142857,0.7651428571428571,9.357727272727272,1.1457272727272727,8.588636363636363,0.3766363636363632,1.1457272727272727,12,-0.37599999999999945,21,25
DGS10,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,1989-04,9.1755,8.112608695652174,-1.0628913043478256,7.8742857142857146,-1.301214285714285,8.758181818181818,-0.4173181818181817,8.067727272727273,-1.1077727272727262,-0.28234210526315806,16,-1.3394999999999992,7,25
DGS10,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,1989-05,8.85909090909091,8.1905,-0.6685909090909092,7.836,-1.023090909090909,8.48,-0.3790909090909089,8.284,-0.5750909090909087,0.034066985645932135,15,-1.023090909090909,6,25
DGS10,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,1994-01,5.750500000000001,7.183333333333333,1.432833333333332,7.236086956521739,1.4855869565217388,7.469473684210525,1.7189736842105248,5.8055,0.054999999999999716,2.2044999999999995,9,-0.09811904761904788,23,25
DGS10,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,1995-01,7.7795000000000005,6.632727272727274,-1.1467727272727268,6.488260869565217,-1.2912391304347839,5.8055,-1.9740000000000002,6.419473684210526,-1.360026315789474,-0.31002631578947515,0,-2.127119047619048,11,25
DGS10,PAUSE_START,T06_1994,B03,1995-03-28,1.0,1995-02,7.469473684210525,6.168181818181818,-1.3012918660287074,6.1975,-1.2719736842105256,6.268571428571428,-1.2009022556390976,6.6945,-0.7749736842105257,-0.2646910755148726,0,-1.8170927318295726,10,25
DGS10,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,1995-06,6.168181818181818,6.044761904761905,-0.12341991341991321,5.652380952380953,-0.5158008658008653,6.865454545454545,0.6972727272727273,6.220454545454545,0.052272727272726804,0.7438181818181828,11,-0.5158008658008653,6,25
DGS10,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,1999-05,5.539499999999999,5.915238095238095,0.37573809523809576,6.275454545454545,0.735954545454546,6.097272727272728,0.5577727272727282,5.284285714285714,-0.2552142857142856,1.1215000000000002,7,-0.6540454545454537,21,25
DGS10,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,2000-04,5.990526315789474,5.826086956521739,-0.16443935926773445,5.717142857142857,-0.2733834586466166,5.391363636363637,-0.5991626794258371,5.164545454545455,-0.8259808612440187,0.44992822966507173,0,-1.4237081339712923,17,25
DGS10,PAUSE_START,T07_1999,B04,2000-06-28,1.0,2000-05,6.440454545454545,5.799,-0.641454545454545,5.2405,-1.1999545454545455,5.284285714285714,-1.1561688311688316,4.9265,-1.5139545454545456,-0.3431818181818178,0,-1.873636363636364,16,25
DGS10,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,2000-12,5.2405,5.141,-0.09949999999999992,5.236190476190477,-0.004309523809522986,5.035714285714286,-0.20478571428571435,4.048571428571428,-1.191928571428572,0.15086363636363664,4,-1.3704999999999998,20,25
DGS10,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,2004-05,4.7155000000000005,4.1257142857142854,-0.589785714285715,4.2309090909090905,-0.48459090909090996,3.998181818181818,-0.7173181818181824,5.106363636363636,0.39086363636363597,0.39449999999999985,23,-0.7173181818181824,12,25
DGS10,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,2006-05,5.11,4.718999999999999,-0.3910000000000009,4.5645,-0.5455000000000005,5.102857142857142,-0.007142857142858006,4.099523809523809,-1.010476190476191,-0.003636363636363882,0,-1.6,21,25
DGS10,PAUSE_START,T08_2004,B05,2006-08-08,1.0,2006-07,5.0875,4.595238095238095,-0.49226190476190546,4.722631578947369,-0.3648684210526314,4.674782608695652,-0.4127173913043487,3.8857142857142852,-1.2017857142857151,0.015357142857141959,10,-1.5775000000000001,19,25
DGS10,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,2007-08,4.674782608695652,4.0975,-0.5772826086956515,3.5100000000000002,-1.1647826086956514,3.6861904761904762,-0.9885921325051754,3.401904761904762,-1.2728778467908897,-0.14705533596837927,1,-2.258418972332015,15,25
DGS10,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,2015-11,2.263157894736842,1.8890909090909092,-0.3740669856459329,1.6440909090909093,-0.6190669856459328,2.491904761904762,0.2287468671679198,2.4025,0.13934210526315782,0.2287468671679198,12,-0.759157894736842,7,25
DGS10,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,2018-11,3.117,2.570952380952381,-0.5460476190476191,2.074,-1.0430000000000001,1.8628571428571428,-1.2541428571428572,0.9336363636363636,-2.1833636363636364,-0.2843684210526316,0,-2.4933636363636364,19,25
DGS10,PAUSE_START,T09_2015,B06,2019-01-30,1.0,2018-12,2.8326315789473684,2.532380952380952,-0.3002506265664162,2.059090909090909,-0.7735406698564593,1.7576190476190479,-1.0750125313283205,1.0810526315789473,-1.7515789473684211,-0.11882205513784427,0,-2.208995215311005,18,25
DGS10,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,2019-06,2.074,1.7068181818181818,-0.36718181818181805,1.7576190476190479,-0.316380952380952,0.6236363636363637,-1.4503636363636363,1.3185714285714287,-0.7554285714285711,-0.01490909090909076,0,-1.4503636363636363,12,25
DGS10,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,2022-02,1.9342105263157894,3.1433333333333335,1.2091228070175442,3.5190476190476194,1.58483709273183,3.6630434782608696,1.7288329519450802,4.2085,2.2742894736842105,2.8638847117794493,19,0.19361556064073238,0,25
DGS10,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,2023-06,3.7480952380952384,4.798095238095239,1.0500000000000003,4.058095238095238,0.31000000000000005,4.248636363636364,0.5005411255411256,4.391818181818182,0.6437229437229433,1.0500000000000003,3,-0.024595238095238336,14,25
DGS10,PAUSE_START,T10_2022,B07,2023-09-20,1.0,2023-08,4.167826086956522,4.0200000000000005,-0.14782608695652133,4.2085,0.040673913043478116,3.7235,-0.44432608695652176,4.12047619047619,-0.04734989648033139,0.6302691511387168,1,-0.44432608695652176,12,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,1987-04,1.8096428571428564,1.56952380952381,-0.24011904761904646,1.7894736842105274,-0.020169172932329005,1.3659523809523808,-0.44369047619047564,1.9134090909090915,0.10376623376623506,0.32558441558441586,1,-0.5071428571428562,18,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,1987-06,2.1352272727272723,1.7399999999999984,-0.39522727272727387,1.71671052631579,-0.4185167464114823,1.3759999999999994,-0.7592272727272729,1.8640000000000008,-0.27122727272727154,-0.21649999999999991,23,-0.8327272727272721,16,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,1987-07,1.83118181818182,1.7894736842105274,-0.04170813397129258,1.6805000000000003,-0.1506818181818197,1.337065217391304,-0.494116600790516,1.8723913043478255,0.041209486166005505,0.08754545454545237,22,-0.5286818181818198,15,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,1987-08,1.56952380952381,1.6522727272727291,0.08274891774891913,1.5565217391304351,-0.013002070393374865,1.5028571428571436,-0.06666666666666643,1.935500000000001,0.3659761904761911,0.3659761904761911,24,-0.2670238095238098,14,25
MORTGAGE_SPREAD_PP,PAUSE_START,T04_1987,B02,1987-11-03,1.0,1987-10,1.7399999999999984,1.6805000000000003,-0.05949999999999811,1.3659523809523808,-0.37404761904761763,1.3025000000000002,-0.4374999999999982,1.8932142857142855,0.15321428571428708,0.19988095238095305,23,-0.4374999999999982,12,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,1987-10,1.7399999999999984,1.6805000000000003,-0.05949999999999811,1.3659523809523808,-0.37404761904761763,1.3025000000000002,-0.4374999999999982,1.8932142857142855,0.15321428571428708,0.19988095238095305,23,-0.4374999999999982,12,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,1988-02,1.6805000000000003,1.538636363636364,-0.1418636363636363,1.5028571428571436,-0.17764285714285677,1.6742727272727276,-0.006227272727272748,1.6793636363636377,-0.0011363636363626028,0.25938095238095116,19,-0.3780000000000001,8,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,1989-04,1.8745000000000012,1.8723913043478255,-0.0021086956521756406,1.8932142857142855,0.01871428571428435,1.7193181818181813,-0.15518181818181986,1.4042727272727262,-0.47022727272727494,0.06538095238095032,5,-0.5926578947368419,16,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,1989-05,1.9134090909090915,1.935500000000001,0.022090909090909605,1.9079999999999995,-0.005409090909092029,1.6839999999999993,-0.22940909090909223,1.3309999999999995,-0.582409090909092,0.02647186147185998,4,-0.6315669856459323,15,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,1994-01,1.3094999999999999,1.4141666666666675,0.10466666666666757,1.27641304347826,-0.033086956521739985,1.3580263157894752,0.048526315789475305,1.2694999999999999,-0.040000000000000036,0.17900000000000027,22,-0.13015789473684158,0,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,1995-01,1.3680000000000003,1.3222727272727264,-0.04572727272727395,1.3717391304347837,0.0037391304347833554,1.2694999999999999,-0.09850000000000048,1.230526315789474,-0.13747368421052641,0.12049999999999983,10,-0.13747368421052641,24,25
MORTGAGE_SPREAD_PP,PAUSE_START,T06_1994,B03,1995-03-28,1.0,1995-02,1.3580263157894752,1.3978181818181818,0.03979186602870666,1.4385000000000003,0.08047368421052514,1.3554285714285719,-0.00259774436090332,1.2030000000000003,-0.1550263157894749,0.13047368421052497,9,-0.1550263157894749,24,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,1995-06,1.3978181818181818,1.4302380952380949,0.032419913419913016,1.3776190476190466,-0.020199134199135216,1.3795454545454557,-0.018272727272726108,1.2770454545454548,-0.12077272727272703,0.09068181818181831,5,-0.2016277056277067,23,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,1999-05,1.6055000000000001,1.9072619047619046,0.30176190476190445,1.6365454545454554,0.031045454545455264,2.1907272727272726,0.5852272727272725,1.8757142857142854,0.2702142857142853,0.5959130434782605,14,-0.056499999999998884,7,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,2000-04,2.161973684210526,2.2014130434782606,0.03943935926773445,2.027857142857143,-0.13411654135338313,1.753636363636363,-0.40833732057416317,1.641454545454545,-0.5205191387559811,0.03943935926773445,3,-0.5205191387559811,24,25
MORTGAGE_SPREAD_PP,PAUSE_START,T07_1999,B04,2000-06-28,1.0,2000-05,2.074545454545455,2.1130000000000004,0.0384545454545453,2.1414999999999997,0.0669545454545446,1.8757142857142854,-0.1988311688311697,1.7235000000000005,-0.35104545454545466,0.12686758893280548,2,-0.4330909090909101,23,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,2000-12,2.1414999999999997,1.9364999999999997,-0.20500000000000007,1.8913095238095234,-0.2501904761904763,1.961785714285714,-0.17971428571428572,1.8674285714285714,-0.2740714285714283,0.0810000000000004,20,-0.5000454545454547,16,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,2004-05,1.554499999999999,1.6282857142857141,0.07378571428571501,1.5210909090909093,-0.033409090909089834,1.5838181818181818,0.029318181818182687,1.575636363636363,0.021136363636363953,0.25035714285714405,18,-0.12422727272727219,9,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,2006-05,1.4874999999999998,1.6835000000000004,0.19600000000000062,1.5705,0.08300000000000018,1.5546428571428583,0.0671428571428585,2.220476190476191,0.7329761904761911,0.9724999999999997,21,-0.029523809523809064,7,25
MORTGAGE_SPREAD_PP,PAUSE_START,T08_2004,B05,2006-08-08,1.0,2006-07,1.6749999999999998,1.6447619047619053,-0.03023809523809451,1.5623684210526312,-0.11263157894736864,1.8972173913043484,0.2222173913043486,2.591785714285715,0.916785714285715,0.916785714285715,24,-0.21702380952380906,5,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,2007-08,1.8972173913043484,1.9974999999999996,0.1002826086956512,2.4599999999999995,0.5627826086956511,2.3513095238095234,0.454092132505175,1.6555952380952381,-0.2416221532091103,0.9724189723320147,15,-0.33271739130434863,20,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,2015-11,1.6793421052631579,1.8049090909090908,0.12556698564593294,1.9239090909090908,0.24456698564593293,1.7060952380952386,0.026753132832080695,1.5475000000000003,-0.13184210526315754,0.2566578947368421,7,-0.14434210526315816,22,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,2018-11,1.7489999999999997,1.6940476190476188,-0.054952380952380864,1.7285,-0.02049999999999974,1.8571428571428574,0.10814285714285776,1.7503636363636366,0.0013636363636368998,0.8993809523809526,16,-0.13888095238095177,4,25
MORTGAGE_SPREAD_PP,PAUSE_START,T09_2015,B06,2019-01-30,1.0,2018-12,1.8048684210526318,1.610119047619048,-0.1947493734335839,1.705909090909091,-0.09895933014354075,1.8663809523809523,0.06151253132832046,1.6539473684210526,-0.15092105263157918,0.8435125313283205,15,-0.1947493734335839,3,25
MORTGAGE_SPREAD_PP,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,2019-06,1.7285,1.981181818181818,0.252681818181818,1.8663809523809523,0.13788095238095233,2.3923636363636365,0.6638636363636365,1.5494285714285712,-0.17907142857142877,0.9198809523809524,9,-0.387,22,25
MORTGAGE_SPREAD_PP,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,2022-02,1.8282894736842108,2.3786666666666667,0.5503771929824559,2.5929523809523807,0.7646629072681699,2.88095652173913,1.0526670480549192,2.6115000000000004,0.7832105263157896,1.1376152882205512,15,0.21588443935926716,0,25
MORTGAGE_SPREAD_PP,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,2023-06,2.965904761904762,2.8219047619047615,-0.14400000000000057,2.5844047619047616,-0.3815000000000004,2.598863636363636,-0.3670411255411259,2.328181818181819,-0.637722943722943,-0.02540476190476193,0,-0.6423333333333336,17,25
MORTGAGE_SPREAD_PP,PAUSE_START,T10_2022,B07,2023-09-20,1.0,2023-08,2.9041739130434783,2.795,-0.10917391304347834,2.6115000000000004,-0.2926739130434779,2.4564999999999997,-0.4476739130434786,2.2320238095238096,-0.6721501035196686,0.03496894409937923,2,-0.6721501035196686,24,25
